course_code,lang,section,semester,prof_name,course_name,credits,exam_form,workload,type,keywords,available_programs,course_url
PHYS-201(e),english,CGC,winter,Scarlino Pasquale,General physics: electromagnetism,4,Written,4hrs/week,mandatory,[],"['Environmental Sciences and Engineering BA3', 'Chemistry and Chemical Engineering BA3', 'Passerelle HES - CGC Autumn semester', 'Passerelle HES - SIE Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2380732419&ww_x_anneeacad=2840683608&ww_i_section=246696&ww_i_niveau=2936286&ww_c_langue=fr
PHYS-467,english,CGC,winter,Zdeborová Lenka,Machine learning for physicists,6,Written,5hrs/week,optional,[],"['Physics - master program MA1', 'Physics - master program MA3', 'Molecular & Biological Chemistry MA1', 'Molecular & Biological Chemistry MA3', 'Applied Physics MA1', 'Applied Physics MA3', 'Quantum Science and Engineering MA1', 'Quantum Science and Engineering MA3']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2908397379&ww_x_anneeacad=2840683608&ww_i_section=246696&ww_i_niveau=6683147&ww_c_langue=fr
AR-458,french,GC,summer,"Kaufmann Vincent, Drevon Guillaume Simon Joseph",City and mobility,3,Written,2hrs/week,optional,"['mobilité', 'choix modal', 'ville', 'aménagement du territoire', 'sociologie']","['Architecture MA2', 'Architecture MA4', 'Civil Engineering MA2', 'Civil Engineering MA4', 'Urban systems MA2', 'Minor in Engineering for sustainability Spring semester', 'Territories in transformation and climate minor Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1777227&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=en
CIVIL-203,english,GC,summer,Karapiperis Konstantinos,Soil mechanics and flow through porous media,5,Written,5hrs/week,mandatory,"['soil mechanics', 'underground flow', 'effective stress', 'constitutive relationships', 'elasticity', 'failure criteria']",['Civil Engineering BA4'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4008535742&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=fr
CIVIL-210,french,GC,summer,Ancey Christophe,Fluids mechanics (For GC),5,Written,5hrs/week,mandatory,"['fluide', 'mécanique', 'théorie de la similitude', 'principes de conservation', ""théorème d'euler"", 'théorème de bernoulli', 'hydraulique à surface libre', 'pression', 'viscosité', 'fluide newtonien', 'rivière', 'turbulence', 'écoulement  en charge', 'pompe', 'perte de charge']","['Civil Engineering BA4', 'Passerelle HES - GC Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=71543597&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=en
CIVIL-211,french,GC,winter,"Vanardois Jonas Jacques Marcel, Müntener Othmar, Violay Marie Estelle Solange",Geology,4,Written,3hrs/week,mandatory,"['compositions', 'propriétés et comportements des roches', 'géologie structurale', 'tectonique', 'géophysique']","['Civil Engineering BA3', 'Passerelle HES - GC Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=824225311&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=en
CIVIL-212,english,GC,winter,Licina Dusan,Fundamentals of indoor climate,2,During the semester,2hrs/week,mandatory,"['indoor environmental quality', 'building design', 'building systems', 'human  comfort and health']",['Civil Engineering BA3'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2699284546&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=fr
CIVIL-225,french,GC,winter,Molinari Jean-François,Continuum mechanics (for GC),5,Written,5hrs/week,mandatory,[],"['Civil Engineering BA3', 'Passerelle HES - GC Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=231606915&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=2936286&ww_c_langue=en
CIVIL-226,english,GC,summer,"Fink Olga, Alahi Alexandre Massoud",Introduction to machine learning for engineers,5,During the semester,5hrs/week,mandatory,"['machine learning', 'computational thinking', 'artificial intelligence']","['Civil Engineering BA4', 'Passerelle HES - GC Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2726783321&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=fr
CIVIL-235,french,GC,summer,Nussbaumer Alain,Design of steel structures,5,Written,5hrs/week,mandatory,"['résistance en section', 'dimensionnement', 'poutre', 'poteau', 'cadres', 'assemblages', 'stabilité']","['Civil Engineering BA6', 'Passerelle HES - GC Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=227318683&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=en
CIVIL-238,english,GC,summer,Vassilopoulos Anastasios,Structural mechanics (for GC),4,Written,4hrs/week,mandatory,"['mechanics of materials', 'stresses in structures', 'stress-strain relationships', 'theory of elasticity for isotropic media', 'beam theory', 'deflections in beams', 'principle of virtual work', 'stability']","['Civil Engineering BA4', 'Passerelle HES - GC Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2699269183&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=2936295&ww_c_langue=fr
CIVIL-239,english,GC,winter,Sonta Andrew James,Engineering a sustainable built environment,3,Written,3hrs/week,mandatory,"['sustainability', 'energy', 'life-cycle assessment', 'systems thinking', 'civil  engineering']",['Civil Engineering BA3'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3930881544&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=fr
CIVIL-306,french,GC,summer,Möri Andreas,Geotechnical engineering,5,Written,5hrs/week,mandatory,"['ouvrages géotechniques', 'dimensionnement', 'plasticité', 'fondations superficielles', 'fondations profondes', 'murs de soutènement', 'fouilles à talus', 'parois clouées', 'fouilles avec écran', ""tirants d'ancrage actifs""]","['Civil Engineering BA6', 'Passerelle HES - GC Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=348606859&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=en
CIVIL-307,french,GC,summer,Domer Bernd,Numerical representation / BIM,3,During the semester,3hrs/week,optional,[],['Civil Engineering BA6'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2396032129&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=en
CIVIL-308,french,GC,winter,"Vacat ., Sandrone Federica, Violay Marie Estelle Solange",Rock mechanics,5,Written,5hrs/week,mandatory,"['propriétés mécaniques', 'réristance', 'matrice rocheuse', 'discontinuités', 'massif rocheux', 'fondations en rocher', 'talus en rocher', 'excavation des  ouvrages souterrains', 'contraintes et déplacements autour des cavités', 'types de soutènement', 'interaction massif-soutènement', 'stabilité du front  de taille', 'tassements']","['Civil Engineering BA5', 'Passerelle HES - GC Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1932632950&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=en
CIVIL-309,english,GC,winter,Khovalyg Dolaana,Urban thermodynamics,3,During the semester,2hrs/week,mandatory,"['urban heat exchange', 'built environment', 'heat island effect', 'outdoor environmental quality', 'climate-sensitive urban design']",['Civil Engineering BA5'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4506196492&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=fr
CIVIL-312,english,GC,winter,Musa Mirko,Hydraulic engineering and infrastructures,5,Written,5hrs/week,mandatory,"['hydraulic design', 'hydraulic structures', 'open channel flows', 'artificial  and natural channels', 'dams and reservoirs', 'pressurized pipes']","['Civil Engineering BA5', 'Environmental Sciences and Engineering BA5']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4506120369&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=fr
CIVIL-321,french,GC,summer,"Molinari Jean-François, Anciaux Guillaume",Numerical modelling of solids and structures,4,Written,3hrs/week,mandatory,"['eléments finis', 'interpolation', 'intégration', 'petites déformations', 'structure', 'treillis', 'poutres de bernoulli', 'dynamique', 'modes-propres', 'statique', 'discrétization']","['Civil Engineering BA6', 'Passerelle HES - GC Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1775047&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=en
CIVIL-323,english,GC,winter,Ruggiero David Michael Volpe,Reinforced concrete structures,5,Written,5hrs/week,mandatory,"['structures', 'concrete', 'stress fields', 'design']","['Civil Engineering BA5', 'Passerelle HES - GC Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3501037776&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=fr
CIVIL-324,english,GC,summer,Zhang Kenan,Urban public transport systems,3,During the semester,3hrs/week,mandatory,"['public transit', 'on-demand mobility', 'multi-modal transportation system']","['Civil Engineering BA6', 'Passerelle HES - GC Spring semester', 'Urban systems MA2']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3501058469&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=2936295&ww_c_langue=fr
CIVIL-331,french,GC,winter,Natterer Johannes,Dimensioning of Timber structures,3,Written,3hrs/week,optional,"['résistance en section', 'dimensionnement', 'poutre poteau', 'assemblages', 'stabilité']",['Civil Engineering BA5'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=414819112&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=en
CIVIL-332,english,GC,summer,Fink Olga,Data Science for infrastructure condition monitoring,3,During the semester,3hrs/week,optional,[],['Civil Engineering BA6'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3199332108&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=fr
CIVIL-349,english,GC,winter,Geroliminis Nikolaos,Traffic engineering,4,During the semester,4hrs/week,mandatory,"['traffic engineering', 'on-demand transport', 'traffic control', 'data collection', 'bus operations']",['Civil Engineering BA5'],http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3197826792&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=fr
CIVIL-355,english,GC,summer,Bierlaire Michel,Introduction to transportation systems,3,During the semester,3hrs/week,mandatory,['transportation and mathematical models'],"['Civil Engineering BA4', 'Urban systems MA2']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3215456088&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=fr
CIVIL-390,french,GC,summer,Profs divers *,Project in civil engineering,5,During the semester,5hrs/week,mandatory,[],"['Civil Engineering BA5', 'Civil Engineering BA6', 'Hors plans Autumn semester', 'Passerelle HES - GC Spring semester', 'Sustainable Construction minor Autumn semester', 'Sustainable Construction minor Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=23610182&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683117&ww_c_langue=en
CIVIL-400,french,GC,winter,Dubey Jacques,Construction contracts and liability,2,Written,2hrs/week,mandatory,"['développement  durable', 'sources de droit', 'procédure de planification', 'autorisation de  construire', 'droit de recours']","['Civil Engineering MA1', 'Civil Engineering MA3']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4506207626&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=en
CIVIL-402,english,GC,winter,"Laloui Lyesse, Ferrari Alessio",Geomechanics,5,Written,5hrs/week,optional,"['mechanical behaviour of geomaterial', 'constitutive models', 'elasto-plasticity', 'numerical modelling in geomechanics', 'laboratory and in-situ testing']","['Civil Engineering MA1', 'Civil Engineering MA3', 'Civil engineering minor Autumn semester', 'Mechanics (edoc)']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1932794331&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
CIVIL-404,english,GC,summer,Sandrone Federica,Underground construction,3,During the semester,3hrs/week,optional,"['underground  space and constructions', 'tunnels', 'caverns', 'planning and design', 'construction  methods and techniques', 'risk assessment', 'maintenance', 'case studies', 'project']","['Civil Engineering MA2', 'Civil Engineering MA4', 'Civil engineering minor Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3940255051&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
CIVIL-407,english,GC,winter,"Licina Dusan, Khovalyg Dolaana, Sonta Andrew James, Favero Matteo",Energy and comfort in buildings,5,During the semester,5hrs/week,optional,"['energy demand', 'human comfort', 'indoor  environmental quality', 'building envelope', 'building simulation']","['Civil Engineering MA1', 'Civil Engineering MA3', 'Architecture MA1', 'Architecture MA3', 'Mechanical Engineering MA1', 'Mechanical Engineering MA3', 'Energy Science and Technology MA1', 'Energy Science and Technology MA3', 'Minor in Integrated Design Architecture and Sustainability  Autumn semester', 'Energy minor Autumn semester', 'Territories in transformation and climate minor Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4507726247&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
CIVIL-408,english,GC,winter,Karapiperis Konstantinos,Multiscale modelling in mechanics,4,During the semester,4hrs/week,optional,"['multiscale modeling', 'solid mechanics', 'homogenization', 'molecular dynamics', 'discreteelement method']","['Civil Engineering MA1', 'Civil Engineering MA3', 'Mechanical Engineering MA1', 'Mechanical Engineering MA3', 'Civil engineering minor Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4512988462&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
CIVIL-409,english,GC,summer,"De Abreu E Presa De Castro E Sousa Albano António, Lignos Dimitrios",Structural stability,4,Written,4hrs/week,optional,"['structural stability', 'static & dynamic loading', 'nonlinear geometric  instabilities', 'nonlinear behaviour', 'frame stability', 'plastic analysis', 'plate buckling', 'plate girders']","['Civil Engineering MA2', 'Civil Engineering MA4', 'Civil and Environmental Engineering (edoc)', 'Civil engineering minor Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=4513154088&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
CIVIL-410,french,GC,winter,"De Cesare Giovanni, André Stéphanie Joëlle, Arborino Antoine Maurice",Fluvial hydraulics and river training works,3,Oral,3hrs/week,optional,"['hydraulique fluviale', ""aménagement de cours d'eau"", 'transport de sédiment', 'mécanique des fluides', 'ingénierie fluviale']","['Civil Engineering MA1', 'Civil Engineering MA3', 'Environmental Sciences and Engineering MA1', 'Environmental Sciences and Engineering MA3', 'Civil engineering minor Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1774027&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=en
CIVIL-411,english,GC,winter,"De Cesare Giovanni, De Almeida Manso Pedro Filipe",Dam engineering,3,Oral,3hrs/week,optional,[],"['Civil Engineering MA1', 'Civil Engineering MA3', 'Energy minor Autumn semester', 'Civil engineering minor Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3503833593&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
CIVIL-413,english,GC,summer,Pfister Michael,Urban hydraulic systems,3,Oral,3hrs/week,optional,"['sustainability', 'urba water', 'sewer', 'hydraulics', 'urban drainage', 'fresh water']","['Civil Engineering MA2', 'Civil Engineering MA4', 'Environmental Sciences and Engineering MA2', 'Environmental Sciences and Engineering MA4', 'Urban systems MA2', 'Civil engineering minor Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=380690154&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
CIVIL-414,english,GC,summer,Fernandez-Ordoñez Hernandez David Carlos,Design of precast concrete structures,3,During the semester,3hrs/week,optional,"['structural concrete', 'precast structures', ""reinforcement's detailing"", 'design', 'dimensioning methods']","['Civil Engineering MA2', 'Civil Engineering MA4', 'Civil engineering minor Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3503747441&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
CIVIL-424,english,GC,winter,Terzis Dimitrios,Innovation for construction and the environment,3,During the semester,3hrs/week,mandatory,"['innovation', 'materials', 'productivity', 'environmental impact', 'sustainability', 'technology']","['Civil Engineering MA1', 'Civil Engineering MA3', 'Sustainable Management and Technology MA3', 'Urban systems MA1', 'Sustainable Construction minor Autumn semester', 'Civil engineering minor Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2502490480&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
CIVIL-426,english,GC,winter,Fink Olga,Machine learning for predictive maintenance applications,6,During the semester,6hrs/week,optional,"['machine learning', 'predictive maintenance', 'fault detection', 'fault diagnostics', 'prognostics', 'remaining useful lifetime']","['Civil Engineering MA1', 'Civil Engineering MA3', 'Mechanical Engineering MA1', 'Mechanical Engineering MA3', 'Management MA1', 'Management MA3', 'Robotics MA1', 'Robotics MA3', 'Data and Internet of Things minor Autumn semester', 'Civil engineering minor Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3200276537&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
CIVIL-433,english,GC,summer,Natterer Johannes,Timber construction,3,Oral,3hrs/week,optional,"['wooden buildings', 'floor', 'connection', 'fire facade', 'timber', 'design', 'construction']","['Civil Engineering MA2', 'Civil Engineering MA4', 'Civil engineering minor Spring semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=3940257770&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
CIVIL-438,french,GC,winter,Defert Raphaël,Risk analysis and management,2,Oral,2hrs/week,mandatory,"['risques  technologiques', 'risques naturels', 'risques projets', ""risques bureaux  d'ingénieurs"", 'analyse des risques', 'gestion intégrale des risques']","['Civil Engineering MA1', 'Civil Engineering MA3', 'Civil engineering minor Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=1932629392&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=en
CIVIL-443,english,GC,winter,Vassilopoulos Anastasios,Advanced composites in engineering structures,3,Oral,3hrs/week,optional,"['composites', 'structures', 'design', 'analysis', 'martix', 'fiber', 'project based']","['Civil Engineering MA1', 'Civil Engineering MA3', 'Mechanical Engineering MA1', 'Mechanical Engineering MA3', 'Civil and Environmental Engineering (edoc)', 'Civil engineering minor Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=47390229&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
CIVIL-449,english,GC,winter,"Lignos Dimitrios, Saloustros Savvas",Nonlinear analysis of structures,6,Written,5hrs/week,optional,"['nonlinear analysis', 'beam-column elements', 'zero-length elements', 'seismic assessment', 'geometric nonlinearities', 'material nonlinearities', 'control methods']","['Civil Engineering MA1', 'Civil Engineering MA3', 'Mechanical Engineering MA1', 'Mechanical Engineering MA3', 'Civil and Environmental Engineering (edoc)', 'Civil engineering minor Autumn semester']",http://isa.epfl.ch/imoniteur_ISAP/!itffichecours.htm?ww_i_matiere=2046227141&ww_x_anneeacad=2840683608&ww_i_section=942623&ww_i_niveau=6683147&ww_c_langue=fr
